Artist
lord david dundas
boz scaggs
kc and the sunshine band
bay city rollers
electric light orchestra
supertramp
shaun cassidy
bee gees
the spinners
alice cooper
carly simon
the sylvers
kenny nolan
joe tex
rose royce
queen
captain  tennille
aerosmith
dr buzzards original savannah band
al stewart
heatwave
fleetwood mac
elton john
bj thomas
abba
leo sayer
london symphony orchestra
cj  company
andy gibb
bee gees
debby boone
bee gees
exile
bee gees
player
andy gibb
a taste of honey
commodores
frankie valli
paul davis
john travolta  olivia newtonjohn
samantha sang
eric clapton
the rolling stones
billy joel
wings
yvonne elliman
chic
chuck mangione
nick gilder
sweet
bonnie tyler
queen
gerry rafferty
barry manilow
johnny mathis  deniece williams
peter brown
meat loaf
raydio
abba
dan hill
donna summer
olivia newtonjohn
foreigner
rod stewart
roberta flack  donny hathaway
kansas
walter egan
randy newman
the ojays
natalie cole
pablo cruise
andy gibb
john paul young
david gates
paul simon
heatwave
jay ferguson
atlanta rhythm section
bob seger  the silver bullet band
toby beau
the trammps
george benson
styx
ltd
player
carly simon
dolly parton
linda ronstadt
steely dan
anne murray
evelyn champagne king
little river band
jefferson starship
eddie money
shaun cassidy
john travolta  olivia newtonjohn
lynyrd skynyrd
crystal gayle
patti smith group
robert palmer
barry manilow
heatwave
rick james
earth wind  fire
bob welch
leblanc  carr
santa esmeralda
michael johnson
jackson browne
kenny loggins  stevie nicks
chris rea
foxy
electric light orchestra
joe walsh
alicia bridges
high inergy
linda ronstadt
odyssey
parliament
boston
electric light orchestra
eruption
bob welch
abba
rita coolidge
bob seger  the silver bullet band
steely dan
the knack
donna summer
chic
rod stewart
peaches  herb
gloria gaynor
donna summer
village people
anita ward
robert john
bee gees
donna summer
dr hook
david naughton
the pointer sisters
bee gees
olivia newtonjohn
blondie
the doobie brothers
chic
neil diamond  barbra streisand
amii stewart
suzi quatro  chris norman
maxine nightingale
the jacksons
melissa manchester
supertramp
billy joel
randy vanwarmer
raydio
peaches  herb
dionne warwick
bee gees
cheap trick
barbra streisand
elton john
leif garrett
earth wind  fire
donna summer and brooklyn dreams
kenny rogers
nicolette larson
little river band
bonnie pointer
toto
sister sledge
dr hook  the medicine show
kenny rogers
village people
frank mills
the charlie daniels band
john stewart
wings
sister sledge
bad company
hot chocolate
cher
earth wind  fire  the emotions
andy gibb
bobby caldwell
ace frehley
dire straits
chic
rickie lee jones
alicia bridges
mcfadden  whitehead
little river band
styx
england dan  john ford coley
cheryl lynn
patrick hernandez
electric light orchestra
anne murray
ian matthews
kiss
gino vannelli
gq
linda ronstadt
earth wind  fire
al stewart
herb alpert
electric light orchestra
eric clapton
roger voudouris
ambrosia
eddie rabbitt
rex smith
alice cooper
foreigner
the babys
instant funk
michael jackson
robert palmer
barry manilow
bob seger  the silver bullet band
van halen
nigel olsson
diana ross
commodores
gq
firefall
blondie
pink floyd
olivia newtonjohn
michael jackson
captain  tennille
queen
paul mccartney
lipps inc
billy joel
bette midler
rupert holmes
gary numan
smokey robinson
the spinners
air supply
elton john
christopher cross
diana ross
kc and the sunshine band
styx
billy preston and syreeta
the manhattans
commodores
teri desario  kc
dr hook
robbie dupree
ambrosia
kenny loggins
the spinners
jermaine jackson
kenny rogers  kim carnes
christopher cross
dan fogelberg
kenny rogers
kool  the gang
kool  the gang
the sos band
barbra streisand  donna summer
kim carnes
m
the pretenders
ray goodman  brown
stevie wonder
shalamar
cliff richard
eagles
the brothers johnson
rocky burnette
dr hook
rupert holmes
bob seger and the silver bullet band
donna summer
the rolling stones
herb alpert
air supply
little river band
jd souther
andy gibb
pete townshend
steve forbert
anne murray
eagles
isaac hayes
tom petty and the heartbreakers
michael jackson
irene cara
bob seger
linda ronstadt
benny mardones
pure prairie league
genesis
the dirt band
carole king
donna summer
billy joel
linda ronstadt
neil  dara sedaka
charlie dore
michael jackson
peaches  herb
eagles
mickey gilley
pat benatar
dionne warwick
eddie rabbitt
supertramp
fleetwood mac
hall  oates
boz scaggs
neil diamond
george benson
anne murray
kenny rogers
fleetwood mac
prince
charlie daniels band
boz scaggs
barry manilow
joe walsh
tom petty and the heartbreakers
kim carnes
diana ross  lionel richie
kenny rogers
john lennon
rick springfield
kool  the gang
hall  oates
eddie rabbitt
dolly parton
reo speedwagon
joey scarbury
sheena easton
smokey robinson
juice newton
blondie
raydio
blondie
grover washington jr  bill withers
the pointer sisters
climax blues band
john lennon
a taste of honey
abba
stars on 45
juice newton
neil diamond
air supply
air supply
barbra streisand  barry gibb
styx
the oak ridge boys
reo speedwagon
ronnie milsap
gino vannelli
barbra streisand
the manhattan transfer
foreigner
rod stewart
commodores
don mclean
marty balin
diana ross
hall  oates
kenny rogers
champaign
pat benatar
the greg kihn band
the alan parsons project
bruce springsteen
franke and the knockouts
terri gibbs
leo sayer
tierra
styx
dottie west  kenny rogers
journey
the police
gary us bonds
stevie nicks  tom petty
delbert mcclinton
cliff richard
neil diamond
john cougar
christopher cross
queen
the alan parsons project
eric clapton
steve winwood
stevie wonder
neil diamond
the police
steely dan
stevie wonder
george harrison
eddie rabbitt
billy squier
alabama
george duke  stanley clarke
dan fogelberg
pablo cruise
electric light orchestra
john schneider
pat benatar
santana
barbra streisand  barry gibb
john lennon
heart
ronnie milsap
barry manilow
hall  oates
olivia newtonjohn  cliff richard
sheena easton
the beach boys
devo
sheena easton
gary wright
rosanne cash
diana ross
boz scaggs
andy gibb
olivia newtonjohn
survivor
joan jett and the blackhearts
paul mccartney and stevie wonder
the j geils band
the human league
john cougar
john cougar
steve miller band
chicago
soft cell
vangelis
quarterflash
toto
daryl hall  john oates
tommy tutone
bertie higgins
melissa manchester
foreigner
rick springfield
juice newton
willie nelson
the cars
dazz band
the gogos
ray parker jr
george benson
air supply
the motels
men at work
fleetwood mac
the alan parsons project
earth wind  fire
journey
dan fogelberg
stevie nicks and don henley
air supply
charlene
paul davis
asia
little river band
buckner  garcia
stevie wonder
daryl hall  john oates
lindsey buckingham
roberta flack
juice newton
rod stewart
the j geils band
reo speedwagon
huey lewis and the news
paul davis
38 special
diana ross
alabama
royal philharmonic orchestra
crosby stills  nash
eddie money
donna summer
karla bonoff
quincy jones featuring james ingram
elton john
the gogos
sheena easton
america
daryl hall  john oates
a flock of seagulls
jackson browne
commodores
paul mccartney
deniece williams
kenny rogers
journey
barbra streisand
laura branigan
elton john
neil diamond
joan jett  the blackhearts
the police
air supply
michael mcdonald
kool  the gang
ronnie milsap
olivia newtonjohn
kool  the gang
diana ross
the gogos
van halen
the pointer sisters
billy idol
kim wilde
little river band
michael murphey
the rolling stones
stevie wonder
loverboy
greg guidry
christopher cross
kenny rogers
stevie nicks
the police
michael jackson
irene cara
men at work
michael jackson
bonnie tyler
daryl hall  john oates
patti austin and james ingram
michael sembello
eurythmics
culture club
eddie rabbitt and crystal gayle
dexys midnight runners
